Token,POS,NE,Lemma,Tag,Language,Candidate,Anglicism_x,Anglicism_y,Adapted,Exist
"7,4",NUM,O,7,Number,NUM,False,False,,,left_only
2.0,NUM,O,2,Number,NUM,False,False,,,left_only
7.3,NUM,O,7,Number,NUM,False,False,,,left_only
5.4,NUM,O,5,Number,NUM,False,False,,,left_only
60.000,NUM,O,60,Number,NUM,False,False,,,left_only
"8,99",NUM,O,8,Number,NUM,False,False,,,left_only
"8,49",NUM,O,8,Number,NUM,False,False,,,left_only
"79,60",NUM,O,79,Number,NUM,False,False,,,left_only
"27,99",NUM,O,27,Number,NUM,False,False,,,left_only
"9,99",NUM,O,9,Number,NUM,False,False,,,left_only
"19,99",NUM,O,19,Number,NUM,False,False,,,left_only
"22,99",NUM,O,22,Number,NUM,False,False,,,left_only
"62,50",NUM,O,62,Number,NUM,False,False,,,left_only
80.000,NUM,O,80,Number,NUM,False,False,,,left_only
12.000,NUM,O,12,Number,NUM,False,False,,,left_only
"12,8",NUM,O,12,Number,NUM,False,False,,,left_only
7,,,,,,,,FALSE,,right_only
2,,,,,,,,FALSE,,right_only
0,,,,,,,,FALSE,,right_only
60,,,,,,,,FALSE,,right_only
000,,,,,,,,FALSE,,right_only
99,,,,,,,,FALSE,,right_only
49,,,,,,,,FALSE,,right_only
79,,,,,,,,FALSE,,right_only
9,,,,,,,,FALSE,,right_only
19,,,,,,,,FALSE,,right_only
22,,,,,,,,FALSE,,right_only
62,,,,,,,,FALSE,,right_only
