Token,Language,Anglicism,POS,NE,Lemma
líder,Eng-AdaptedAng,yes,NOUN,O,líder
rock,Eng-UnadaptedAng,yes,NOUN,O,rock
rockeros,Eng-AdaptedAng,yes,NOUN,O,rockero
rock,Eng-UnadaptedAng,yes,NOUN,O,rock
hit,Eng-UnadaptedAng,yes,NOUN,O,hit
gol,Eng-AdaptedAng,yes,NOUN,O,gol
gol,Eng-AdaptedAng,yes,NOUN,O,gol
tuitear,Eng-AdaptedAng,yes,VERB,O,tuitear
show,Eng-UnadaptedAng,yes,NOUN,O,show
trend,Eng-UnadaptedAng,yes,NOUN,O,trend
topic,Eng-UnadaptedAng,yes,VERB,O,topic
tuiteó,Eng-AdaptedAng,yes,VERB,O,tuiteó
tuit,Eng-AdaptedAng,yes,NOUN,O,tuit
pub,Eng-UnadaptedAng,yes,NOUN,I,pub
pub,Eng-UnadaptedAng,yes,NOUN,O,pub
blogueros,Eng-AdaptedAng,yes,NOUN,O,blogueros
tuits,Eng-AdaptedAng,yes,ADJ,O,tuits
bloggero,Eng-AdaptedAng,yes,NOUN,O,bloggero
club,Eng-UnadaptedAng,yes,NOUN,O,club
club,Eng-UnadaptedAng,yes,NOUN,O,club
gol,Eng-AdaptedAng,yes,NOUN,O,gol
surfea,Eng-AdaptedAng,yes,VERB,I,surfea
surfista,Eng-AdaptedAng,yes,ADJ,O,surfista
longboard,Eng-UnadaptedAng,yes,NOUN,O,longboard
longboard,Eng-UnadaptedAng,yes,NOUN,O,longboard
tuits,Eng-AdaptedAng,yes,NOUN,O,tuits
jazz,Eng-UnadaptedAng,yes,NOUN,O,jazz
jazz,Eng-UnadaptedAng,yes,NOUN,O,jazz
multitasking,Eng-UnadaptedAng,yes,NOUN,O,multitasking
test,Eng-UnadaptedAng,yes,NOUN,O,test
casting,Eng-UnadaptedAng,yes,NOUN,O,casting
casting,Eng-UnadaptedAng,yes,NOUN,O,casting
hot,Eng-UnadaptedAng,yes,VERB,I,hot
casting,Eng-UnadaptedAng,yes,NOUN,O,casting
reality,Eng-UnadaptedAng,yes,NOUN,O,reality
mocasines,Eng-AdaptedAng,yes,NOUN,O,mocasín
tuits,Eng-AdaptedAng,yes,NOUN,O,tuits
punching,Eng-UnadaptedAng,yes,NOUN,O,punching
balls,Eng-UnadaptedAng,yes,VERB,O,balls
blog,Eng-UnadaptedAng,yes,NOUN,O,blog
holding,Eng-UnadaptedAng,yes,NOUN,O,holding
festivales,Eng-AdaptedAng,yes,NOUN,O,festival
TV,Eng-UnadaptedAng,yes,PROPN,B,TV
festivales,Eng-AdaptedAng,yes,NOUN,O,festival
rapero,Eng-AdaptedAng,yes,NOUN,I,rapero
tecnopop,Eng-AdaptedAng,yes,NOUN,O,tecnopop
póker,Eng-AdaptedAng,yes,NOUN,O,póker
boicot,Eng-AdaptedAng,yes,NOUN,O,boicot
goles,Eng-AdaptedAng,yes,NOUN,O,gol
TV,Eng-UnadaptedAng,yes,PROPN,B,TV
TV,Eng-UnadaptedAng,yes,PROPN,B,TV
TV,Eng-UnadaptedAng,yes,PROPN,B,TV
assemblage,Eng-UnadaptedAng,yes,NOUN,O,assemblage
old,Eng-UnadaptedAng,yes,NOUN,O,old
fashion,Eng-UnadaptedAng,yes,PROPN,O,fashion
Finale,Eng-UnadaptedAng,yes,PROPN,B,Finale
trophies,Eng-UnadaptedAng,yes,NOUN,O,trophies
mail,Eng-UnadaptedAng,yes,NOUN,O,mail
ranking,Eng-UnadaptedAng,yes,NOUN,O,ranking
set,Eng-UnadaptedAng,yes,NOUN,I,set
match,Eng-UnadaptedAng,yes,NOUN,O,match
points,Eng-UnadaptedAng,yes,NOUN,O,points
passing,Eng-UnadaptedAng,yes,NOUN,O,passing
tuits,Eng-AdaptedAng,yes,NOUN,O,tuits
Tuits,Eng-AdaptedAng,yes,PROPN,B,Tuits
memes,Eng-UnadaptedAng,yes,NOUN,I,memes
web,Eng-UnadaptedAng,yes,NOUN,O,web
megatones,Eng-AdaptedAng,yes,NOUN,O,megatón
dance,Eng-UnadaptedAng,yes,ADJ,O,danzar
dance,Eng-UnadaptedAng,yes,NOUN,O,danzar
floor,Eng-UnadaptedAng,yes,ADJ,O,floor
beats,Eng-UnadaptedAng,yes,NOUN,O,beats
rankeando,Eng-AdaptedAng,yes,VERB,O,rankeando
rapera,Eng-AdaptedAng,yes,NOUN,O,rapero
hit,Eng-UnadaptedAng,yes,NOUN,O,hit
dance,Eng-UnadaptedAng,yes,NOUN,O,danzar
track,Eng-UnadaptedAng,yes,NOUN,I,track
single,Eng-UnadaptedAng,yes,NOUN,O,singlar
flirteo,Eng-AdaptedAng,yes,NOUN,O,flirtear
surfea,Eng-AdaptedAng,yes,VERB,O,surfea
dancehall,Eng-UnadaptedAng,yes,NOUN,O,dancehall
